ativos,cumulative_log_returns_64d,date
BNXUSDT,-97.7357,2024-11-19
REEFUSDT,-53.102,2024-11-19
DOGSUSDT,-27.9913,2024-11-19
VIDTUSDT,-24.8222,2024-11-19
KEYUSDT,-20.6747,2024-11-19
CKBUSDT,-15.9639,2024-11-19
RDNTUSDT,-15.45,2024-11-19
BONDUSDT,-15.2783,2024-11-19
1000SATSUSDT,-10.8731,2024-11-19
QUICKUSDT,-10.2567,2024-11-19
XMRUSDT,-8.6382,2024-11-19
GUSDT,-8.4302,2024-11-19
SFPUSDT,-7.4639,2024-11-19
TRUUSDT,-5.7165,2024-11-19
LPTUSDT,-4.1018,2024-11-19
EDUUSDT,-3.2933,2024-11-19
SUNUSDT,-2.3033,2024-11-19
ZROUSDT,-2.1065,2024-11-19
RAREUSDT,-1.1342,2024-11-19
BBUSDT,-0.7126,2024-11-19
USDCUSDT,-0.0732,2024-11-19
OMGUSDT,0.6152,2024-11-19
TONUSDT,1.7693,2024-11-19
ARUSDT,1.9245,2024-11-19
MKRUSDT,2.2657,2024-11-19
KASUSDT,2.3357,2024-11-19
COTIUSDT,2.3473,2024-11-19
RONINUSDT,2.3641,2024-11-19
SSVUSDT,2.9357,2024-11-19
BSWUSDT,3.4267,2024-11-19
NULSUSDT,4.5654,2024-11-19
DUSKUSDT,4.7543,2024-11-19
AUCTIONUSDT,4.8648,2024-11-19
MAVUSDT,5.5225,2024-11-19
LEVERUSDT,5.7759,2024-11-19
FLUXUSDT,6.6463,2024-11-19
BTCDOMUSDT,6.8344,2024-11-19
FETUSDT,7.6386,2024-11-19
BAKEUSDT,7.7489,2024-11-19
NOTUSDT,8.0,2024-11-19
STMXUSDT,8.6871,2024-11-19
BLZUSDT,8.903,2024-11-19
VANRYUSDT,10.2809,2024-11-19
STGUSDT,10.3859,2024-11-19
RPLUSDT,11.0905,2024-11-19
SYSUSDT,11.411,2024-11-19
AMBUSDT,11.4304,2024-11-19
KSMUSDT,11.4886,2024-11-19
HOOKUSDT,12.064,2024-11-19
IMXUSDT,12.8085,2024-11-19
DARUSDT,12.9547,2024-11-19
JASMYUSDT,13.6056,2024-11-19
BNBUSDT,14.9633,2024-11-19
ASTRUSDT,15.2419,2024-11-19
CAKEUSDT,15.4528,2024-11-19
PEOPLEUSDT,15.4795,2024-11-19
VOXELUSDT,15.5581,2024-11-19
XVSUSDT,15.9307,2024-11-19
ENSUSDT,16.2396,2024-11-19
ICPUSDT,16.2525,2024-11-19
ALPACAUSDT,16.7272,2024-11-19
ACEUSDT,17.011,2024-11-19
HIGHUSDT,17.4838,2024-11-19
COMBOUSDT,17.5041,2024-11-19
LUNA2USDT,17.6996,2024-11-19
CHESSUSDT,17.9094,2024-11-19
CFXUSDT,18.4488,2024-11-19
TRBUSDT,18.5069,2024-11-19
CHRUSDT,18.5103,2024-11-19
CYBERUSDT,18.9627,2024-11-19
JOEUSDT,18.9996,2024-11-19
LISTAUSDT,19.2171,2024-11-19
POLUSDT,19.7824,2024-11-19
AAVEUSDT,19.7879,2024-11-19
REZUSDT,19.7968,2024-11-19
MAVIAUSDT,20.0424,2024-11-19
UMAUSDT,20.1054,2024-11-19
BELUSDT,20.3116,2024-11-19
AEVOUSDT,20.3797,2024-11-19
TIAUSDT,20.6255,2024-11-19
OXTUSDT,21.1781,2024-11-19
ATAUSDT,21.3667,2024-11-19
TWTUSDT,21.5824,2024-11-19
API3USDT,21.6598,2024-11-19
QNTUSDT,21.7594,2024-11-19
1MBABYDOGEUSDT,22.0611,2024-11-19
TOKENUSDT,22.2035,2024-11-19
ZENUSDT,22.5567,2024-11-19
RENUSDT,23.0582,2024-11-19
AERGOUSDT,23.2059,2024-11-19
LITUSDT,23.291,2024-11-19
OPUSDT,23.3603,2024-11-19
NMRUSDT,23.4172,2024-11-19
TUSDT,23.6439,2024-11-19
DASHUSDT,23.7425,2024-11-19
EGLDUSDT,23.9086,2024-11-19
OGNUSDT,24.1162,2024-11-19
1000RATSUSDT,24.1211,2024-11-19
BADGERUSDT,24.2052,2024-11-19
SYNUSDT,24.2199,2024-11-19
ORDIUSDT,25.0585,2024-11-19
GTCUSDT,25.0942,2024-11-19
TLMUSDT,25.3539,2024-11-19
DYMUSDT,25.4142,2024-11-19
LDOUSDT,26.2254,2024-11-19
BIGTIMEUSDT,26.3516,2024-11-19
SAGAUSDT,26.4283,2024-11-19
MANTAUSDT,26.5677,2024-11-19
NFPUSDT,26.6095,2024-11-19
NEIROETHUSDT,26.654,2024-11-19
STXUSDT,26.7094,2024-11-19
ACHUSDT,27.2088,2024-11-19
BANDUSDT,27.2789,2024-11-19
THETAUSDT,27.2803,2024-11-19
RLCUSDT,27.3487,2024-11-19
ONGUSDT,27.5659,2024-11-19
ILVUSDT,27.6509,2024-11-19
GMXUSDT,27.698,2024-11-19
COMPUSDT,27.99,2024-11-19
BALUSDT,28.0112,2024-11-19
AXSUSDT,28.1929,2024-11-19
CTSIUSDT,28.2111,2024-11-19
FILUSDT,28.5188,2024-11-19
KNCUSDT,28.5197,2024-11-19
IOTXUSDT,28.6022,2024-11-19
OMNIUSDT,28.757,2024-11-19
YFIUSDT,28.8876,2024-11-19
ORBSUSDT,28.9029,2024-11-19
PORTALUSDT,28.9391,2024-11-19
DEFIUSDT,29.135,2024-11-19
WUSDT,29.2102,2024-11-19
HFTUSDT,29.214,2024-11-19
DODOXUSDT,29.5668,2024-11-19
XEMUSDT,29.9243,2024-11-19
C98USDT,30.0365,2024-11-19
BATUSDT,30.0414,2024-11-19
ETHFIUSDT,30.1642,2024-11-19
GMTUSDT,30.1659,2024-11-19
TRXUSDT,30.5982,2024-11-19
STEEMUSDT,30.6981,2024-11-19
NKNUSDT,30.7614,2024-11-19
SUSHIUSDT,31.0355,2024-11-19
MOVRUSDT,31.3422,2024-11-19
LSKUSDT,31.416,2024-11-19
STRKUSDT,31.427,2024-11-19
AIUSDT,31.4522,2024-11-19
SNXUSDT,31.5979,2024-11-19
LINAUSDT,31.667,2024-11-19
FLOWUSDT,31.8108,2024-11-19
IOUSDT,31.903,2024-11-19
NTRNUSDT,31.9764,2024-11-19
POWRUSDT,32.165,2024-11-19
FLMUSDT,32.3911,2024-11-19
PERPUSDT,32.617,2024-11-19
UXLINKUSDT,32.7499,2024-11-19
ARPAUSDT,32.8442,2024-11-19
GLMUSDT,32.9272,2024-11-19
STORJUSDT,33.2412,2024-11-19
IOSTUSDT,33.3859,2024-11-19
1000LUNCUSDT,33.5141,2024-11-19
ETHUSDT,33.5858,2024-11-19
RUNEUSDT,33.8249,2024-11-19
MTLUSDT,33.9043,2024-11-19
FTMUSDT,34.0174,2024-11-19
LOOMUSDT,34.2611,2024-11-19
ONTUSDT,34.4228,2024-11-19
ICXUSDT,34.4533,2024-11-19
BNTUSDT,34.4536,2024-11-19
NEOUSDT,34.7089,2024-11-19
1INCHUSDT,34.7932,2024-11-19
MAGICUSDT,34.8548,2024-11-19
FXSUSDT,34.904,2024-11-19
ONEUSDT,35.0422,2024-11-19
ALICEUSDT,35.1679,2024-11-19
ANKRUSDT,35.1716,2024-11-19
HOTUSDT,35.2077,2024-11-19
XAIUSDT,35.4323,2024-11-19
LTCUSDT,35.5444,2024-11-19
INJUSDT,35.6614,2024-11-19
ZETAUSDT,35.8506,2024-11-19
CRVUSDT,35.8582,2024-11-19
DOTUSDT,36.008,2024-11-19
HIFIUSDT,36.0253,2024-11-19
MASKUSDT,36.4684,2024-11-19
UNIUSDT,36.686,2024-11-19
EOSUSDT,36.7235,2024-11-19
RVNUSDT,36.8775,2024-11-19
IDUSDT,37.0386,2024-11-19
ARBUSDT,37.063,2024-11-19
ZKUSDT,37.1334,2024-11-19
LINKUSDT,37.1717,2024-11-19
USTCUSDT,37.2513,2024-11-19
CELRUSDT,37.3158,2024-11-19
BCHUSDT,37.376,2024-11-19
BICOUSDT,37.506,2024-11-19
RSRUSDT,37.6925,2024-11-19
WAXPUSDT,37.7671,2024-11-19
MBOXUSDT,38.366,2024-11-19
ROSEUSDT,38.4266,2024-11-19
RIFUSDT,38.6191,2024-11-19
QTUMUSDT,38.7065,2024-11-19
BSVUSDT,39.0062,2024-11-19
LQTYUSDT,39.2756,2024-11-19
SANDUSDT,39.4357,2024-11-19
PYTHUSDT,40.4393,2024-11-19
POLYXUSDT,41.1526,2024-11-19
AVAXUSDT,41.2956,2024-11-19
1000XECUSDT,42.008,2024-11-19
ALPHAUSDT,42.2231,2024-11-19
ETCUSDT,42.2653,2024-11-19
DYDXUSDT,42.3814,2024-11-19
BLURUSDT,43.3287,2024-11-19
SUPERUSDT,43.3763,2024-11-19
ZECUSDT,43.5176,2024-11-19
YGGUSDT,43.8991,2024-11-19
VETUSDT,43.9793,2024-11-19
WOOUSDT,44.0071,2024-11-19
NEARUSDT,44.069,2024-11-19
CHZUSDT,44.0725,2024-11-19
BTCUSDT,44.177,2024-11-19
JTOUSDT,44.3813,2024-11-19
IOTAUSDT,44.7285,2024-11-19
ENJUSDT,44.7475,2024-11-19
MANAUSDT,45.2638,2024-11-19
PHBUSDT,45.3299,2024-11-19
MEMEUSDT,45.5344,2024-11-19
DENTUSDT,45.5736,2024-11-19
SKLUSDT,45.6367,2024-11-19
GRTUSDT,45.8946,2024-11-19
METISUSDT,46.1199,2024-11-19
ALTUSDT,46.5036,2024-11-19
ZILUSDT,46.7993,2024-11-19
APEUSDT,47.1407,2024-11-19
SPELLUSDT,47.4349,2024-11-19
KAVAUSDT,47.5158,2024-11-19
JUPUSDT,47.6858,2024-11-19
GASUSDT,48.004,2024-11-19
CELOUSDT,48.0437,2024-11-19
RENDERUSDT,48.2987,2024-11-19
BANANAUSDT,48.6095,2024-11-19
ATOMUSDT,48.7774,2024-11-19
LRCUSDT,50.8636,2024-11-19
AXLUSDT,51.0576,2024-11-19
PENDLEUSDT,52.4085,2024-11-19
WLDUSDT,52.8091,2024-11-19
MINAUSDT,52.9732,2024-11-19
PIXELUSDT,53.6197,2024-11-19
ZRXUSDT,54.0051,2024-11-19
ONDOUSDT,54.8842,2024-11-19
ALGOUSDT,55.9616,2024-11-19
BEAMXUSDT,57.0751,2024-11-19
TAOUSDT,57.5115,2024-11-19
BOMEUSDT,57.8185,2024-11-19
GALAUSDT,60.1278,2024-11-19
SOLUSDT,60.2135,2024-11-19
TNSRUSDT,61.7432,2024-11-19
XTZUSDT,62.7334,2024-11-19
TURBOUSDT,63.3131,2024-11-19
XVGUSDT,63.3791,2024-11-19
1000SHIBUSDT,63.5654,2024-11-19
AGLDUSDT,64.1446,2024-11-19
SXPUSDT,64.2096,2024-11-19
XRPUSDT,64.3209,2024-11-19
SEIUSDT,64.7754,2024-11-19
ARKUSDT,72.1812,2024-11-19
1000FLOKIUSDT,74.0132,2024-11-19
APTUSDT,74.2244,2024-11-19
ETHWUSDT,74.3335,2024-11-19
ARKMUSDT,76.5758,2024-11-19
MYROUSDT,79.2168,2024-11-19
ADAUSDT,79.8462,2024-11-19
BRETTUSDT,81.2275,2024-11-19
WIFUSDT,82.8388,2024-11-19
XLMUSDT,89.3118,2024-11-19
POPCATUSDT,92.9183,2024-11-19
ENAUSDT,101.9259,2024-11-19
MEWUSDT,102.7524,2024-11-19
1000PEPEUSDT,104.6748,2024-11-19
HBARUSDT,106.8631,2024-11-19
1000BONKUSDT,109.3112,2024-11-19
SUIUSDT,126.8769,2024-11-19
OMUSDT,127.7988,2024-11-19
DOGEUSDT,131.6225,2024-11-19
NEIROUSDT,176.8843,2024-11-19
